pair,memo
AA,AA
AB,安倍
AD,奥迪
AE,阿鹅
AF,阿飞
AG,阿甘
AH,安徽
AI,AI
AJ,阿娇
AK,阿卡
AL,阿里
AM,澳门
AN,Anne
AP,Assistant Professor
AR,Argentina
AS,奥数
AT,Anto
AW,阿歪
AX,阿信
AY,阿姨
AZ,安卓
BA,保安
BB,宝贝
BC,白痴
BD,冰岛
BE,白鹅
BF,蝙蝠
BG,冰棍
BH,壁虎
BI,bi
BJ,北京
BK,本科
BL,巴黎
BM,宝马
BN,伴娘
BP,八婆
BR,白人
BS,博士
BT,变态
BW,博文
BX,巴西
BY,波音
BZ,豹子
DA,答案
DB,大 bian
DC,电池
DD,弟弟
DE,De
DF,豆腐
DG,蛋糕
DH,大海
DI,地
DJ,东京
DK,短裤
DL,灯笼
DM,大麻
DN,电脑
DP,灯泡
DQ,短裙
DR,Dr
DS,电视
DT,地铁
DW,大卫
DX,短信
DY,电影
DZ,德州
EA,Electronic Arts
EB,二百
ED,耳朵
EE,嗯嗯
EF,二房
EG,鹅肝
EH,耳环
EI,诶
EJ,耳机
EK,尔康
EL,二楼
EM,恶魔
EN,二年
EP,恩平
ER,二人
ES,二十
ET,ET
EW,二万
EX,儿媳
EY,鳄鱼
EZ,二张
FA,法案
FB,粉笔
FC,风车
FD,复旦
FE,飞蛾
FF,夫妇
FG,法国
FH,凤凰
FI,Phi
FJ,发胶
FK,妇科
FL,法老
FM,蜂蜜
FN,蜂鸟
FP,飞盘
FR,夫人
FS,风扇
FT,饭团
FW,福娃
FX,佛像
FY,法院
FZ,非洲
GA,瓜
GB,锅巴
GC,广场
GD,广东
GF,Girlfriend
GH,国会
GI,关爱
GJ,公交
GK,高考
GL,咖喱
GM,闺密
GN,公牛
GP,钙片
GR,狗肉
GS,高三
GT,高铁
GW,鬼屋
GX,狗熊
GY,公园
GZ,鸽子
HA,河岸
HB,红包
HC,火车
HD,蝴蝶
HE,河
HF,花粉
HG,韩国
HH,呵呵
HJ,火箭
HK,Hong Kong
HL,葫芦
HM,河马
HN,红牛
HP,黄浦
HQ,虹桥
HR,黑人
HS,黑丝
HT,火腿
HW,华为
HX,火星
HY,火药
HZ,猴子
IA,等价于YI记Yi
IB,IB
ID,ID
IE,IE
IF,爱抚
IG,Instagram
IH,爱护
II,爱爱
IJ,埃及
IK,Ikea
IL,艾伦
IM,暧昧
IN,爱你
IP,爱嫖
IR,爱人
IS,爱神
IT,爱他
IW,爱我
IX,爱心
IY,爱演
IZ,艾滋
JA,家
JB,Ji Ba
JC,警察
JD,鸡蛋
JE,街
JF,机房
JG,金刚
JH,结婚
JK,杰克
JL,吉林
JM,Jim
JN,妓女
JP,街拍
JR,鸡肉
JS,竞赛
JT,鸡腿
JW,街舞
JX,寄信
JY,监狱
JZ,饺子
KA,卡
KB,课本
KD,蝌蚪
KE,壳
KF,咖啡
KG,苦瓜
KH,口红
KI,Kai
KJ,口j
KK,可可
KL,考拉
KM,Kim
KN,柯南
KP,卡片
KR,烤肉
KS,口水
KT,客厅
KW,Kewei
KX,烤箱
KY,烤鸭
KZ,口罩
LA,LA
LB,老板
LC,绿茶
LD,伦敦
LE,老二
LF,牢房
LG,老公
LH,老虎
LI,Li
LJ,垃圾
LK,林肯
LL,乐乐
LM,辣妹
LN,鲁内
LP,老婆
LR,老人
LS,老师
LT,骆驼
LW,礼物
LX,凉鞋
LY,轮椅
LZ,栗子
MA,马
MB,面包
MC,买春
MD,毛豆
ME,马尔
MF,魔方
MG,玫瑰
MH,马航
MI,米
MJ,MJ
MK,Mike
ML,穆雷
MM,妹妹
MN,美女
MP,媒婆
MR,末日
MS,美食
MT,摩托
MW,门卫
MX,梅西
MY,马云
MZ,妹子
NA,娜娜
NB,尿布
NC,奶茶
ND,牛顿
NE,女儿
NF,南非
NG,女鬼
NH,女孩
NI,你
NJ,牛津
NK,耐克
NL,奶酪
NM,柠檬
NN,牛奶
NP,牛排
NR,女人
NS,纳什
NT,奶头
NW,New
NX,奶昔
NY,女友
NZ,哪吒
PA,啪
PB,瀑布
PC,嫖娼
PD,浦东
PE,Pie
PF,泡芙
PG,苹果
PH,PornHub
PI,屁
PJ,啤酒
PK,皮卡
PL,PL
PM,PM
PN,跑男
PP,屁屁
PR,飘柔
PS,菩萨
PT,葡萄
PW,喷雾
PX,螃蟹
PY,朋友
PZ,胖子
RA,RA
RB,日本
RC,人才
RD,瑞典
RE,热
RF,RF
RG,热狗
RH,RH
RI,日
RJ,乳j
RK,热裤
RL,日料
RM,软妹
RN,Run
RP,人皮
RR,人人
RS,瑞士
RT,乳头
RW,日 wo
RX,乳腺
RY,人妖
RZ,肉粽
SA,傻
SB,手表
SC,四川
SD,山东
SE,色
SF,三番
SG,丝瓜
SH,上海
SI,死
SJ,手机
SK,手铐
SL,色狼
SM,SM
SN,酸奶
SP,薯片
SR,死人
SS,姗姗
ST,食堂
SW,丝袜
SX,绍兴
SY,石油
SZ,深圳
TA,TA
TB,淘宝
TC,台城
TD,土豆
TE,胎儿
TF,头发
TG,泰国
TH,鹈鹕
TI,梯
TJ,同济
TK,坦克
TL,螳螂
TM,天猫
TN,鸵鸟
TP,偷拍
TR,天然
TS,天使
TT,兔兔
TW,台湾
TX,同学
TY,太阳
TZ,兔子
WA,袜
WB,微博
WC,王朝
WD,屋顶
WE,我儿
WF,汪峰
WG,乌龟
WH,武汉
WI,我爱
WJ,吴京
WK,悟空
WL,物理
WM,雾霾
WN,蜗牛
WP,外婆
WR,微软
WS,武松
WT,外滩
WW,娃娃
WX,微信
WY,无语
WZ,蚊子
XA,瞎
XB,小宝
XC,香菜
XD,西单
XE,谢
XF,稀饭
XG,西瓜
XH,西湖
XI,习
XJ,香蕉
XK,小可
XL,新郎
XM,熊猫
XN,悉尼
XP,芯片
XR,小人
XS,香水
XT,西天
XW,小伟
XX,谢谢
XY,香烟
XZ,小猪
YA,牙
YB,伊布
YC,牙齿
YD,晕倒
YE,叶
YF,亦菲
YG,英国
YH,银行
YI,Yi
YJ,眼镜
YK,永康
YL,耶鲁
YM,玉米
YN,云南
YP,羊排
YR,羊肉
YS,钥匙
YT,樱桃
YW,鹦鹉
YX,音响
YY,医院
YZ,鸭子
ZA,渣
ZB,闸北
ZC,张成
ZD,子弹
ZE,泽
ZF,郑凡
ZG,中国
ZH,知乎
ZI,障碍
ZJ,浙江
ZK,中考
ZL,总理
ZM,直美
ZN,渣男
ZP,帐篷
ZR,侏儒
ZS,钻石
ZT,总统
ZW,自 wei
ZX,自信
ZY,泽禹
ZZ,智障